wall_time,fusion_id,trigger_source,trigger_stamp,camera_found,lidar_found,gps_found,gps_interpolated,imu_found,depth_found,odom_found,camera_delta_ms,lidar_delta_ms,imu_delta_ms,depth_delta_ms,odom_delta_ms,gps_delta_ms,fusion_latency_ms
1786563852685,79,camera,1775762866.632082224,1,0,1,1,1,0,1,0.0000,-1.0000,4.9108,-1.0000,0.0000,0.0000,0.3033
1786563853386,80,camera,1775762867.331611156,1,0,1,1,1,0,1,0.0000,-1.0000,2.9373,-1.0000,0.0000,0.0000,0.2668
1786563853811,81,camera,1775762867.764613152,1,0,1,1,1,0,1,0.0000,-1.0000,2.8818,-1.0000,0.0000,0.0000,0.3058
1786563854105,82,camera,1775762868.064747095,1,0,1,1,1,0,1,0.0000,-1.0000,3.4167,-1.0000,0.0000,0.0000,0.3258
1786563854436,83,camera,1775762868.398113966,1,0,1,1,1,0,1,0.0000,-1.0000,3.2578,-1.0000,0.0000,0.0000,0.3332
1786563854568,84,lidar,18146.813798560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1167
1786563854798,85,camera,1775762868.731498957,1,0,1,0,1,0,1,0.0000,-1.0000,0.1797,-1.0000,0.0000,266.1792,0.3200
1786563855150,86,camera,1775762869.097985029,1,0,1,0,1,0,1,0.0000,-1.0000,1.6263,-1.0000,0.0000,632.6652,0.2621
1786563855520,87,camera,1775762869.464868069,1,0,1,0,1,0,1,0.0000,-1.0000,3.8293,-1.0000,0.0000,999.5482,0.2859
1786563855537,88,lidar,18147.813786560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1308
1786563855986,89,camera,1775762869.931363106,1,0,1,0,1,0,1,0.0000,-1.0000,3.3532,-1.0000,0.0000,1466.0432,0.2620
1786563856319,90,camera,1775762870.265211105,1,0,1,0,1,0,1,0.0000,-1.0000,1.5902,-1.0000,0.0000,1799.8912,0.3553
1786563856550,91,lidar,18148.813794560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1292
1786563857003,92,camera,1775762870.965173960,1,0,1,1,1,0,1,0.0000,-1.0000,1.2478,-1.0000,0.0000,0.0000,0.3331
1786563857401,93,camera,1775762871.364989042,1,0,1,1,1,0,1,0.0000,-1.0000,3.0678,-1.0000,0.0000,0.0000,0.3616
1786563857547,94,lidar,18149.813799560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1587
1786563857843,95,camera,1775762871.798377991,1,0,1,1,1,0,1,0.0000,-1.0000,2.0982,-1.0000,0.0000,0.0000,0.2981
1786563858540,96,lidar,18150.813811560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1623
