wall_time,fusion_id,trigger_source,trigger_stamp,camera_found,lidar_found,gps_found,imu_found,depth_found,odom_found,vel_found,rgb_raw_camera_info_found,stereo_found,camera_delta_ms,lidar_delta_ms,imu_delta_ms,depth_delta_ms,odom_delta_ms,gps_delta_ms,vel_delta_ms,rgb_raw_camera_info_delta_ms,stereo_delta_ms,fusion_latency_ms
1788948195293,183,depth,1775762906.667752981,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.4043,0.0000,0.0000,191.0189,175.1091,0.0000,0.0000,0.3293
1788948195676,184,depth,1775762907.001144171,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.3547,0.0000,0.0000,524.4099,508.5001,0.0000,0.0000,0.3275
1788948195911,185,depth,1775762907.367635965,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,0.6323,0.0000,0.0000,103.3297,125.1006,0.0000,0.0000,0.3686
1788948196457,186,depth,1775762907.701229095,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.1403,0.0000,0.0000,230.2633,208.4924,0.0000,0.0000,0.3510
1788948196711,187,depth,1775762908.067890882,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,1.3077,0.0000,0.0000,596.9253,575.1544,0.0000,0.0000,0.3568
1788948197043,188,depth,1775762908.434386253,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,2.3877,0.0000,0.0000,34.7707,53.5431,0.0000,0.0000,0.3361
1788948197748,189,depth,1775762908.967943907,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.7147,0.0000,0.0000,498.7873,480.0149,0.0000,0.0000,0.3398
1788948198000,190,depth,1775762909.305130959,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,3.6827,0.0000,0.0000,164.4907,217.3341,0.0000,0.0000,0.3921
1788948198651,191,depth,1775762909.768002033,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.7167,0.0000,0.0000,298.3803,245.5369,0.0000,0.0000,0.4680
1788948198962,192,depth,1775762910.201382160,1,0,1,1,1,1,1,1,1,0.0000,-1.0000,4.6267,0.0000,0.0000,731.7603,678.9169,0.0000,0.0000,0.3513
